"","year","country","iso","crisisJST","crisisBR"
"1",1870,"Australia","AUS",0,0
"2",1870,"Belgium","BEL",1,1
"3",1870,"Canada","CAN",0,0
"4",1870,"Denmark","DNK",0,0
"5",1870,"Finland","FIN",0,0
"6",1870,"France","FRA",0,0
"7",1870,"Germany","DEU",0,0
"8",1870,"Italy","ITA",0,0
"9",1870,"Japan","JPN",0,0
"10",1870,"Netherlands","NLD",0,0
"11",1870,"Norway","NOR",0,0
"12",1870,"Portugal","PRT",0,0
"13",1870,"Spain","ESP",0,0
"14",1870,"Sweden","SWE",0,0
"15",1870,"Switzerland","CHE",1,1
"16",1870,"UK","GBR",0,0
"17",1870,"USA","USA",0,0
"18",1871,"Australia","AUS",0,0
"19",1871,"Belgium","BEL",0,0
"20",1871,"Canada","CAN",0,0
"21",1871,"Denmark","DNK",0,0
"22",1871,"Finland","FIN",0,0
"23",1871,"France","FRA",0,1
"24",1871,"Germany","DEU",0,0
"25",1871,"Italy","ITA",0,0
"26",1871,"Japan","JPN",1,1
"27",1871,"Netherlands","NLD",0,0
"28",1871,"Norway","NOR",0,0
"29",1871,"Portugal","PRT",0,0
"30",1871,"Spain","ESP",0,0
"31",1871,"Sweden","SWE",0,0
"32",1871,"Switzerland","CHE",0,0
"33",1871,"UK","GBR",0,0
"34",1871,"USA","USA",0,0
"35",1872,"Australia","AUS",0,0
"36",1872,"Belgium","BEL",0,0
"37",1872,"Canada","CAN",0,0
"38",1872,"Denmark","DNK",0,0
"39",1872,"Finland","FIN",0,0
"40",1872,"France","FRA",0,0
"41",1872,"Germany","DEU",0,0
"42",1872,"Italy","ITA",0,0
"43",1872,"Japan","JPN",0,0
"44",1872,"Netherlands","NLD",0,0
"45",1872,"Norway","NOR",0,0
"46",1872,"Portugal","PRT",0,0
"47",1872,"Spain","ESP",0,0
"48",1872,"Sweden","SWE",0,0
"49",1872,"Switzerland","CHE",0,0
"50",1872,"UK","GBR",0,0
"51",1872,"USA","USA",0,0
"52",1873,"Australia","AUS",0,0
"53",1873,"Belgium","BEL",0,0
"54",1873,"Canada","CAN",0,1
"55",1873,"Denmark","DNK",0,0
"56",1873,"Finland","FIN",0,0
"57",1873,"France","FRA",0,0
"58",1873,"Germany","DEU",1,0
"59",1873,"Italy","ITA",1,1
"60",1873,"Japan","JPN",0,0
"61",1873,"Netherlands","NLD",0,0
"62",1873,"Norway","NOR",0,0
"63",1873,"Portugal","PRT",0,0
"64",1873,"Spain","ESP",0,0
"65",1873,"Sweden","SWE",0,0
"66",1873,"Switzerland","CHE",0,0
"67",1873,"UK","GBR",0,0
"68",1873,"USA","USA",1,1
"69",1874,"Australia","AUS",0,0
"70",1874,"Belgium","BEL",0,0
"71",1874,"Canada","CAN",0,0
"72",1874,"Denmark","DNK",0,0
"73",1874,"Finland","FIN",0,0
"74",1874,"France","FRA",0,0
"75",1874,"Germany","DEU",0,1
"76",1874,"Italy","ITA",0,0
"77",1874,"Japan","JPN",0,0
"78",1874,"Netherlands","NLD",0,0
"79",1874,"Norway","NOR",0,0
"80",1874,"Portugal","PRT",0,0
"81",1874,"Spain","ESP",0,0
"82",1874,"Sweden","SWE",0,0
"83",1874,"Switzerland","CHE",0,0
"84",1874,"UK","GBR",0,0
"85",1874,"USA","USA",0,0
"86",1875,"Australia","AUS",0,0
"87",1875,"Belgium","BEL",0,0
"88",1875,"Canada","CAN",0,0
"89",1875,"Denmark","DNK",0,0
"90",1875,"Finland","FIN",0,0
"91",1875,"France","FRA",0,0
"92",1875,"Germany","DEU",0,0
"93",1875,"Italy","ITA",0,0
"94",1875,"Japan","JPN",0,0
"95",1875,"Netherlands","NLD",0,0
"96",1875,"Norway","NOR",0,0
"97",1875,"Portugal","PRT",0,0
"98",1875,"Spain","ESP",0,0
"99",1875,"Sweden","SWE",0,0
"100",1875,"Switzerland","CHE",0,0
"101",1875,"UK","GBR",0,0
"102",1875,"USA","USA",0,0
"103",1876,"Australia","AUS",0,0
"104",1876,"Belgium","BEL",0,1
"105",1876,"Canada","CAN",0,0
"106",1876,"Denmark","DNK",0,0
"107",1876,"Finland","FIN",0,0
"108",1876,"France","FRA",0,0
"109",1876,"Germany","DEU",0,0
"110",1876,"Italy","ITA",0,0
"111",1876,"Japan","JPN",0,0
"112",1876,"Netherlands","NLD",0,0
"113",1876,"Norway","NOR",0,0
"114",1876,"Portugal","PRT",0,1
"115",1876,"Spain","ESP",0,0
"116",1876,"Sweden","SWE",0,0
"117",1876,"Switzerland","CHE",0,0
"118",1876,"UK","GBR",0,0
"119",1876,"USA","USA",0,0
"120",1877,"Australia","AUS",0,0
"121",1877,"Belgium","BEL",0,0
"122",1877,"Canada","CAN",0,0
"123",1877,"Denmark","DNK",1,1
"124",1877,"Finland","FIN",1,0
"125",1877,"France","FRA",0,0
"126",1877,"Germany","DEU",0,0
"127",1877,"Italy","ITA",0,0
"128",1877,"Japan","JPN",0,0
"129",1877,"Netherlands","NLD",0,0
"130",1877,"Norway","NOR",0,0
"131",1877,"Portugal","PRT",0,0
"132",1877,"Spain","ESP",0,0
"133",1877,"Sweden","SWE",0,0
"134",1877,"Switzerland","CHE",0,0
"135",1877,"UK","GBR",0,0
"136",1877,"USA","USA",0,0
"137",1878,"Australia","AUS",0,0
"138",1878,"Belgium","BEL",0,0
"139",1878,"Canada","CAN",0,0
"140",1878,"Denmark","DNK",0,0
"141",1878,"Finland","FIN",0,0
"142",1878,"France","FRA",0,0
"143",1878,"Germany","DEU",0,0
"144",1878,"Italy","ITA",0,0
"145",1878,"Japan","JPN",0,0
"146",1878,"Netherlands","NLD",0,0
"147",1878,"Norway","NOR",0,0
"148",1878,"Portugal","PRT",0,0
"149",1878,"Spain","ESP",0,0
"150",1878,"Sweden","SWE",1,1
"151",1878,"Switzerland","CHE",0,0
"152",1878,"UK","GBR",0,1
"153",1878,"USA","USA",0,0
"154",1879,"Australia","AUS",0,0
"155",1879,"Belgium","BEL",0,0
"156",1879,"Canada","CAN",0,0
"157",1879,"Denmark","DNK",0,0
"158",1879,"Finland","FIN",0,0
"159",1879,"France","FRA",0,0
"160",1879,"Germany","DEU",0,0
"161",1879,"Italy","ITA",0,0
"162",1879,"Japan","JPN",0,0
"163",1879,"Netherlands","NLD",0,0
"164",1879,"Norway","NOR",0,0
"165",1879,"Portugal","PRT",0,0
"166",1879,"Spain","ESP",0,0
"167",1879,"Sweden","SWE",0,0
"168",1879,"Switzerland","CHE",0,0
"169",1879,"UK","GBR",0,0
"170",1879,"USA","USA",0,0
"171",1880,"Australia","AUS",0,0
"172",1880,"Belgium","BEL",0,0
"173",1880,"Canada","CAN",0,0
"174",1880,"Denmark","DNK",0,0
"175",1880,"Finland","FIN",0,0
"176",1880,"France","FRA",0,0
"177",1880,"Germany","DEU",0,0
"178",1880,"Italy","ITA",0,0
"179",1880,"Japan","JPN",0,0
"180",1880,"Netherlands","NLD",0,0
"181",1880,"Norway","NOR",0,0
"182",1880,"Portugal","PRT",0,0
"183",1880,"Spain","ESP",0,0
"184",1880,"Sweden","SWE",0,0
"185",1880,"Switzerland","CHE",0,0
"186",1880,"UK","GBR",0,0
"187",1880,"USA","USA",0,0
"188",1881,"Australia","AUS",0,0
"189",1881,"Belgium","BEL",0,0
"190",1881,"Canada","CAN",0,0
"191",1881,"Denmark","DNK",0,0
"192",1881,"Finland","FIN",0,0
"193",1881,"France","FRA",0,0
"194",1881,"Germany","DEU",0,0
"195",1881,"Italy","ITA",0,0
"196",1881,"Japan","JPN",0,0
"197",1881,"Netherlands","NLD",0,0
"198",1881,"Norway","NOR",0,0
"199",1881,"Portugal","PRT",0,0
"200",1881,"Spain","ESP",0,0
"201",1881,"Sweden","SWE",0,0
"202",1881,"Switzerland","CHE",0,0
"203",1881,"UK","GBR",0,0
"204",1881,"USA","USA",0,0
"205",1882,"Australia","AUS",0,0
"206",1882,"Belgium","BEL",0,0
"207",1882,"Canada","CAN",0,0
"208",1882,"Denmark","DNK",0,0
"209",1882,"Finland","FIN",0,0
"210",1882,"France","FRA",1,1
"211",1882,"Germany","DEU",0,0
"212",1882,"Italy","ITA",0,0
"213",1882,"Japan","JPN",0,1
"214",1882,"Netherlands","NLD",0,0
"215",1882,"Norway","NOR",0,0
